,tweet_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,stage,breed,retweet_count,favorite_count
0,892420643555336193,2017-08-01 16:23:56,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13.0,10,Phineas,,Unknown,8853,39467
1,892177421306343426,2017-08-01 00:17:27,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10,Tilly,,Chihuahua,6514,33819
2,891815181378084864,2017-07-31 00:18:03,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10,Archie,,Chihuahua,4328,25461
3,891689557279858688,2017-07-30 15:58:51,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13.0,10,Darla,,Chihuahua,8964,42908
4,891327558926688256,2017-07-29 16:00:24,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,10,Franklin,,Chihuahua,9774,41048
5,891087950875897856,2017-07-29 00:08:17,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10,None,,Chihuahua,3261,20562
6,890971913173991426,2017-07-28 16:27:12,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,10,Jax,,Chihuahua,2158,12041
7,890729181411237888,2017-07-28 00:22:40,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,10,None,,Chihuahua,16716,56848
8,890609185150312448,2017-07-27 16:25:51,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10,Zoey,,Chihuahua,4429,28226
9,890240255349198849,2017-07-26 15:59:51,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10,Cassie,doggo,Chihuahua,7711,32467
10,890006608113172480,2017-07-26 00:31:25,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13.0,10,Koda,,Samoyed,7624,31166
11,889880896479866881,2017-07-25 16:11:53,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13.0,10,Bruno,,Samoyed,5156,28268
12,889665388333682689,2017-07-25 01:55:32,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13.0,10,None,puppo,Pembroke,8538,38818
13,889638837579907072,2017-07-25 00:10:02,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12.0,10,Ted,,French_bulldog,4735,27672
14,889531135344209921,2017-07-24 17:02:04,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13.0,10,Stuart,puppo,French_bulldog,2321,15359
15,889278841981685760,2017-07-24 00:19:32,https://twitter.com/dog_rates/status/889278841981685760/video/1,13.0,10,Oliver,,French_bulldog,5637,25652
16,888917238123831296,2017-07-23 00:22:39,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12.0,10,Jim,,French_bulldog,4709,29611
17,888804989199671297,2017-07-22 16:56:37,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13.0,10,Zeke,,French_bulldog,4559,26080
18,888554962724278272,2017-07-22 00:23:06,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13.0,10,Ralphus,,French_bulldog,3732,20290
20,888078434458587136,2017-07-20 16:49:33,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",12.0,10,Gerald,,French_bulldog,3653,22201
21,887705289381826560,2017-07-19 16:06:48,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13.0,10,Jeffrey,,French_bulldog,5609,30779
22,887517139158093824,2017-07-19 03:39:09,https://twitter.com/dog_rates/status/887517139158093824/video/1,14.0,10,None,,French_bulldog,12082,46959
23,887473957103951883,2017-07-19 00:47:34,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",13.0,10,Canela,,French_bulldog,18781,69871
24,887343217045368832,2017-07-18 16:08:03,https://twitter.com/dog_rates/status/887343217045368832/video/1,13.0,10,None,,French_bulldog,10737,34222
25,887101392804085760,2017-07-18 00:07:08,https://twitter.com/dog_rates/status/887101392804085760/photo/1,12.0,10,None,,French_bulldog,6167,31061
